
181b021,akshat,CSE,17:40:47,12/05/21,Present
Unknown,Unknown,Unknown,10:27:01,05/04/26,Present
tvrvr,yog,CSE,12:54:48,05/04/26,Present
grgg,narsim,CSE,16:39:57,05/04/26,Present
bgtrbgr,np,CSE,16:41:29,05/04/26,Present
dcwdc,dcdds,CSE,16:55:12,05/04/26,Present
32,gh,CSE,16:57:41,05/04/26,Present
45,jk,CSE,17:13:41,05/04/26,Present
123,yogesh,CSE,12:16:50,21/04/26,Present
1222333,Yogesh,CSE,12:26:12,21/04/26,Present
128,Narasimha,CSE,01:07:11,22/04/26,Present
12,narasimha,CSE,12:22:40,22/04/26,Present
112,jk,CSE,20:17:45,07/05/26,Present
786,mn,CSE,23:00:06,08/05/26,Present
987,uuu,Civil,23:18:19,08/05/26,Present
